ExternalID,SurveyNumber,QuestionID,Questions,QuestionType,Answer,Answer_normalized,sentiment,entities,topic_label,topic_id
,S25120024,296,بشكل عام، ما مدى رضاك عن خدماتنا؟,EMOJIS,1,1,neutral,[],", , , , , , , , , ",22
29614249387192449,S25120024,296,بشكل عام، ما مدى رضاك عن خدماتنا؟,EMOJIS,2,2,neutral,[],", , , , , , , , , ",22
48164499414409065,S25120024,296,بشكل عام، ما مدى رضاك عن خدماتنا؟,EMOJIS,3,3,neutral,[],", , , , , , , , , ",16
14679313066594349,S25120024,296,بشكل عام، ما مدى رضاك عن خدماتنا؟,EMOJIS,4,4,neutral,[],", , , , , , , , , ",16
58260897809422701,S25120024,296,بشكل عام، ما مدى رضاك عن خدماتنا؟,EMOJIS,5,5,neutral,[],", , , , , , , , , ",16
44710991658674595,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,1,1,neutral,[],", , , , , , , , , ",22
43769892783859097,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,2,2,neutral,[],", , , , , , , , , ",22
2061902787314123,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,3-Acceptable/مقبول,3-مقبول,neutral,[],"موظف متميز, مقبول, تعمل ممتاز, ممتاز, تعمل, مندوب رائع, متميز, جيد, موظف, الموظف",21
57578038032338429,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,4,4,neutral,[],", , , , , , , , , ",16
54188713562213306,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,5,5,neutral,[],", , , , , , , , , ",16
20578119168627418,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,1,1,neutral,[],", , , , , , , , , ",22
,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,2,2,neutral,[],", , , , , , , , , ",22
32088748682648188,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,3,3,neutral,[],", , , , , , , , , ",16
57578038032338429,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,4,4,neutral,[],", , , , , , , , , ",16
14443230733048737,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,5,5,neutral,[],", , , , , , , , , ",16
19039455404477539,S25120024,299,ما مدى احتمالية أن توصي بشركة قنوات كمورد لزميل أو شريك تجاري؟,MULTIPLE_CHOICE,,,neutral,[],غير محدد,-1
