month,responses,avg_score
2020-12,1,4.0
2021-03,252,4.94444
2021-04,399,4.75689
2021-05,383,4.72063
2021-06,470,4.77872
2021-07,280,4.75714
2021-08,577,4.67591
2021-09,393,4.76336
2021-10,420,4.75238
2021-11,899,4.81313
2021-12,777,4.89961
2022-01,755,4.77351
2022-02,805,4.82981
2022-03,943,4.81018
2022-04,721,4.83218
2022-05,581,4.85026
2022-06,603,4.85406
2022-07,349,4.79943
2022-08,566,4.74735
2022-09,700,4.89571
2022-10,909,4.88999
2022-11,705,4.6156
2022-12,606,4.81353
2023-01,837,4.86738
2023-02,617,4.84441
2023-03,704,4.89205
2023-04,716,4.85894
2023-05,830,4.86747
2023-06,747,4.81392
2023-07,679,4.84978
2023-08,857,4.87281
2023-09,738,4.8645
2023-10,773,4.87193
2023-11,782,4.8977
2023-12,444,4.82658
2024-01,505,4.90297
2024-02,757,4.92867
2024-03,825,4.93939
2024-04,479,4.8977
2024-05,613,4.93638
2024-06,442,4.81674
2024-07,503,4.9165
2024-08,405,4.8716
2024-09,304,4.86184
2024-10,305,4.9082
2024-11,242,4.85124
2024-12,219,4.87215
2025-01,265,4.87547
2025-02,355,4.89577
2025-03,536,4.91231
2025-04,422,4.88152
2025-05,374,4.89572
2025-06,440,4.89545
2025-07,354,4.87288
2025-08,397,4.92443
2025-09,442,4.85068
2025-10,566,4.91696
2025-11,602,4.84718
2025-12,328,4.87195
