بشكل عام، ما مدى رضاك عن خدماتنا؟,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,عدد المستجيبين,النسبة المئوية
إيجابي,إيجابي,إيجابي,2503,90.2
سلبي,سلبي,سلبي,81,2.92
محايد,إيجابي,إيجابي,68,2.45
سلبي,إيجابي,إيجابي,20,0.72
إيجابي,سلبي,سلبي,17,0.61
سلبي,إيجابي,سلبي,17,0.61
محايد,سلبي,سلبي,12,0.43
إيجابي,إيجابي,محايد,8,0.29
محايد,إيجابي,محايد,8,0.29
سلبي,إيجابي,محايد,7,0.25
سلبي,محايد,سلبي,6,0.22
إيجابي,سلبي,إيجابي,5,0.18
إيجابي,محايد,سلبي,5,0.18
محايد,إيجابي,سلبي,3,0.11
محايد,محايد,سلبي,3,0.11
محايد,محايد,محايد,3,0.11
إيجابي,سلبي,محايد,2,0.07
سلبي,محايد,محايد,2,0.07
سلبي,سلبي,محايد,1,0.04
إيجابي,إيجابي,سلبي,1,0.04
إيجابي,محايد,إيجابي,1,0.04
محايد,سلبي,محايد,1,0.04
إيجابي,محايد,محايد,1,0.04
