بشكل عام، ما مدى رضاك عن خدماتنا؟,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,ما مدى احتمالية أن توصي بشركة قنوات كمورد لزميل أو شريك تجاري؟,عدد المستجيبين,النسبة المئوية,تصنيف الشريحة
,,,,516042,99.47,مختلط
إيجابي,إيجابي,إيجابي,,2503,0.48,راضون كلياً
سلبي,سلبي,سلبي,,81,0.02,غير راضون كلياً
محايد,إيجابي,إيجابي,,68,0.01,مختلط
سلبي,إيجابي,إيجابي,,20,0.0,مختلط
إيجابي,سلبي,سلبي,,17,0.0,مختلط
سلبي,إيجابي,سلبي,,17,0.0,مختلط
محايد,سلبي,سلبي,,12,0.0,مختلط
إيجابي,إيجابي,محايد,,8,0.0,مختلط
محايد,إيجابي,محايد,,8,0.0,مختلط
سلبي,إيجابي,محايد,,7,0.0,مختلط
سلبي,محايد,سلبي,,6,0.0,مختلط
إيجابي,سلبي,إيجابي,,5,0.0,مختلط
إيجابي,محايد,سلبي,,5,0.0,مختلط
محايد,إيجابي,سلبي,,3,0.0,مختلط
محايد,محايد,سلبي,,3,0.0,مختلط
محايد,محايد,محايد,,3,0.0,مختلط
إيجابي,سلبي,محايد,,2,0.0,مختلط
سلبي,محايد,محايد,,2,0.0,مختلط
سلبي,سلبي,محايد,,1,0.0,مختلط
إيجابي,إيجابي,سلبي,,1,0.0,مختلط
إيجابي,محايد,إيجابي,,1,0.0,مختلط
محايد,سلبي,محايد,,1,0.0,مختلط
إيجابي,محايد,محايد,,1,0.0,مختلط
